pointid,grid_code,X,Y,directSolarSummer,directSolarWinter,rugged_clip,jaxa_dem,NEW_jaxa_clip,Slope_NEW_DEM,Aspect_NEW_DEM,Current_Bio_1,Current_Bio12,Current_YFRW_SDM
129,0.6000000,505206.800099998712540,-3432610.676799999549985,381.8617249,71.3902969,27.7848873,411,423,16.0414581,200.1289520,18.0830002,232.0000000,0.477120869001833
130,0.0000000,505114.036499999463558,-3432641.597999999299645,390.0270691,106.4366226,25.6515102,419,427,17.1984158,97.9665680,18.0830002,232.0000000,0.477120869001833
131,0.0000000,505083.115299999713898,-3432672.519200000911951,387.2673340,118.9157028,33.9558525,433,438,21.8117504,90.3715515,17.8081245,261.0000000,0.660032903450470
132,0.0000000,505114.036499999463558,-3432672.519200000911951,398.5845337,126.9053116,29.0000000,423,424,17.7611446,89.2891159,18.0830002,232.0000000,0.477120869001833
133,0.0000000,505114.036499999463558,-3432703.440400000661612,405.8352966,141.6492462,25.2586613,426,427,15.2354650,70.6876373,18.0830002,232.0000000,0.477120869001833
134,10.0000000,505330.484800003468990,-3432703.440400000661612,402.8538208,151.1446381,35.0570946,444,431,21.9100780,309.7165527,18.0830002,232.0000000,0.477120869001833
135,0.0000000,505114.036499999463558,-3432734.361600000411272,411.9147949,145.7975311,18.6279354,434,430,9.0006914,51.3991013,18.0830002,232.0000000,0.477120869001833
136,7.0000000,505237.721299998462200,-3432734.361600000411272,406.8761902,147.4027405,14.3874950,422,414,10.4049740,335.7790222,18.0830002,232.0000000,0.477120869001833
137,0.3333333,505268.642399996519089,-3432734.361600000411272,395.0698853,137.6360321,16.6132469,422,418,11.5348549,302.5758972,18.0830002,232.0000000,0.477120869001833
138,4.6666665,505299.563600003719330,-3432734.361600000411272,387.1512756,116.5711288,23.3023605,430,427,15.6078520,280.8269348,18.0830002,232.0000000,0.477120869001833
139,3.3333333,505330.484800003468990,-3432734.361600000411272,399.5289307,126.7276306,33.2866325,452,441,19.0538692,275.9509888,18.0830002,232.0000000,0.477120869001833
140,0.0000000,505114.036499999463558,-3432765.282700000330806,413.7237244,135.0316772,12.2474489,436,434,3.0077038,328.5560608,18.0830002,232.0000000,0.477120869001833
141,0.0000000,505144.957699999213219,-3432765.282700000330806,409.8554382,141.6516876,20.6881599,434,436,9.5052862,26.4623699,18.0830002,232.0000000,0.477120869001833
142,6.0000000,505206.800099998712540,-3432765.282700000330806,410.5231934,156.0440979,23.3452358,429,420,13.6490879,17.1513824,18.0830002,232.0000000,0.477120869001833
143,0.7500000,505237.721299998462200,-3432765.282700000330806,410.7242737,158.6915741,21.5174351,433,421,15.4748955,342.7223511,18.0830002,232.0000000,0.477120869001833
144,0.0000000,505268.642399996519089,-3432765.282700000330806,405.0930481,153.1061554,21.4242859,433,422,13.8104076,334.0320435,18.0830002,232.0000000,0.477120869001833
145,0.0000000,505299.563600003719330,-3432765.282700000330806,389.5585022,119.2154465,26.0959759,426,425,14.1182394,292.9443970,18.0830002,232.0000000,0.477120869001833
146,0.0000000,505330.484800003468990,-3432765.282700000330806,390.1896362,123.7620163,33.6303444,447,433,19.8436813,270.1097717,18.0830002,232.0000000,0.477120869001833
147,0.0000000,505175.878899998962879,-3432796.203900000080466,413.2302246,137.0303650,15.9373770,431,433,5.6170001,61.9221268,18.0830002,232.0000000,0.477120869001833
148,0.0000000,505206.800099998712540,-3432796.203900000080466,408.4473572,153.3711090,19.7737198,438,428,11.7201452,352.8159180,18.0830002,232.0000000,0.477120869001833
149,25.0000000,506691.017399996519089,-3434094.894099999219179,326.1958008,51.4780388,40.3732567,416,414,27.7827148,234.2057190,18.0830002,232.0000000,0.477120869001833
150,13.5000000,506691.017399996519089,-3434125.815300000831485,322.7854614,44.5073853,42.9883690,402,403,29.1695118,224.1200714,18.0830002,232.0000000,0.477120869001833
151,10.0000000,506721.938600003719330,-3434125.815300000831485,314.3665466,36.2943611,46.8401527,413,416,31.1595287,219.3723907,18.0830002,232.0000000,0.477120869001833
152,3.0000000,506660.096199996769428,-3434156.736500000581145,338.5390320,52.9839096,38.7556458,382,380,26.4684315,221.7161713,18.0830002,232.0000000,0.477120869001833
153,16.3999996,506691.017399996519089,-3434156.736500000581145,326.1616516,46.2858658,40.3732567,389,390,27.2028828,216.7797546,18.0830002,232.0000000,0.477120869001833
154,0.5000000,506629.174999997019768,-3434187.657700000330806,359.6828918,72.3352814,29.2403831,363,358,18.5691681,232.6548309,18.0830002,232.0000000,0.477120869001833
155,2.0000000,506660.096199996769428,-3434187.657700000330806,354.7197266,63.8431091,32.1558685,372,370,21.7975140,226.7317200,18.0830002,232.0000000,0.477120869001833
156,1.6666666,506691.017399996519089,-3434187.657700000330806,339.2351074,53.2712822,33.8082848,378,379,22.9248676,214.5830841,18.0830002,232.0000000,0.477120869001833
157,0.0000000,506598.253799997270107,-3434218.578900000080466,399.3481445,102.7522430,13.3041344,350,351,0.9650813,87.4806366,18.0830002,232.0000000,0.477120869001833
158,1.0000000,506629.174999997019768,-3434218.578900000080466,371.0025024,83.7986450,19.8746071,358,354,12.5106144,234.2677612,18.0830002,232.0000000,0.477120869001833
159,0.3333333,506691.017399996519089,-3434218.578900000080466,357.4849854,60.5040817,26.6645832,369,370,18.5845203,209.7672272,18.0830002,232.0000000,0.477120869001833
160,0.1428571,506567.332599997520447,-3434249.500099999830127,402.2646484,143.8292847,28.7576084,352,361,18.9487400,41.2906456,18.0830002,232.0000000,0.477120869001833
161,0.0000000,506598.253799997270107,-3434249.500099999830127,403.1238403,129.9060669,22.5166607,349,351,9.7450180,64.5641022,18.0830002,232.0000000,0.477120869001833
162,0.0000000,506629.174999997019768,-3434249.500099999830127,376.4468079,110.9505463,15.7797337,351,350,5.1856723,218.1911469,18.0830002,232.0000000,0.477120869001833
163,0.5000000,506691.017399996519089,-3434249.500099999830127,363.4667969,75.9029388,23.8956070,360,362,15.9072218,199.5645752,18.0830002,232.0000000,0.477120869001833
164,0.0000000,506598.253799997270107,-3434280.421299999579787,402.4591980,154.0113525,33.1058922,349,355,19.1751595,55.4726524,18.0830002,232.0000000,0.477120869001833
165,2.0000000,506629.174999997019768,-3434280.421299999579787,390.4187622,144.5657654,18.4661846,348,349,6.2461090,53.8489494,18.0830002,232.0000000,0.477120869001833
166,0.0000000,506660.096199996769428,-3434280.421299999579787,382.1552124,128.8407745,14.3527002,349,350,3.2844250,205.4793243,18.0830002,232.0000000,0.477120869001833
167,0.0000000,506691.017399996519089,-3434280.421299999579787,375.9700623,113.9771271,17.0880070,350,352,8.5751905,189.7726593,18.0830002,232.0000000,0.477120869001833
168,0.0000000,507587.732100002467632,-3434280.421299999579787,404.3543396,108.9535904,4.5825758,346,346,1.7810756,87.5640717,18.0830002,232.0000000,0.477120869001833
169,0.0000000,507618.653300002217293,-3434280.421299999579787,403.1896667,109.6449432,4.1231055,343,345,2.3846171,124.4257278,18.0830002,232.0000000,0.477120869001833
170,2.9090910,506629.174999997019768,-3434311.342499999329448,402.2796631,166.5235291,34.1027870,352,354,20.2318649,30.7991867,18.0830002,232.0000000,0.477120869001833
171,0.0000000,495621.229599997401237,-3438794.915799999609590,413.6245422,121.6845703,3.6055512,540,541,2.1592886,79.4840012,17.8081245,261.0000000,0.660032903450470
172,0.0000000,495621.229599997401237,-3438825.836999999359250,414.0521545,123.0843506,6.4031243,540,540,3.1126237,72.3616638,17.8081245,261.0000000,0.660032903450470
173,0.0000000,495590.308399997651577,-3438856.758199999108911,414.1882629,127.4559402,10.2956305,543,545,6.7309532,66.2542801,17.8081245,261.0000000,0.660032903450470
174,0.0000000,495621.229599997401237,-3438856.758199999108911,414.6598206,127.2378616,7.2801099,541,541,4.2469382,65.8206024,17.8081245,261.0000000,0.660032903450470
175,0.0000000,495652.150799997150898,-3438856.758199999108911,414.5985718,125.2328949,2.8284271,540,540,1.9558090,48.9584885,17.8081245,261.0000000,0.660032903450470
176,0.0000000,495683.071999996900558,-3438856.758199999108911,414.3143005,124.7560425,1.7320508,539,539,0.9168202,42.6117210,17.8081245,261.0000000,0.660032903450470
177,0.0000000,495590.308399997651577,-3438887.679400000721216,414.1562500,133.2851105,9.3273792,544,546,6.3532748,79.8587646,17.8081245,261.0000000,0.660032903450470
178,0.0000000,495621.229599997401237,-3438887.679400000721216,415.1911316,129.7286072,7.4161983,543,542,5.0438600,70.2738419,17.8081245,261.0000000,0.660032903450470
179,0.0000000,495652.150799997150898,-3438887.679400000721216,414.8474426,125.3410873,4.7958317,541,540,2.8799820,55.6203079,17.8081245,261.0000000,0.660032903450470
180,0.0000000,495683.071999996900558,-3438887.679400000721216,414.5559692,123.8118057,2.0000000,539,540,0.9164070,42.6174126,17.8081245,261.0000000,0.660032903450470
181,0.0000000,495466.623599998652935,-3438918.600600000470877,416.2326050,155.7910309,12.8452330,563,559,10.4181690,25.0313511,17.8081245,261.0000000,0.660032903450470
182,0.0000000,495497.544799998402596,-3438918.600600000470877,417.2580566,148.2006989,12.9614811,554,556,9.6319704,42.6221504,17.8081245,261.0000000,0.660032903450470
183,0.0000000,495528.465999998152256,-3438918.600600000470877,417.9471130,146.9472504,10.1980391,552,552,7.0957789,50.2163696,17.8081245,261.0000000,0.660032903450470
184,0.0000000,495559.387199997901917,-3438918.600600000470877,417.5320129,144.6468201,9.6436510,551,549,6.8929834,53.1120377,17.8081245,261.0000000,0.660032903450470
185,0.0000000,495590.308399997651577,-3438918.600600000470877,416.2023926,138.7408905,10.9544516,549,546,7.5447216,53.2394638,17.8081245,261.0000000,0.660032903450470
186,0.0000000,495621.229599997401237,-3438918.600600000470877,415.0161133,132.0044708,9.9498739,546,544,7.2488475,56.6599045,17.8081245,261.0000000,0.660032903450470
187,0.0000000,495652.150799997150898,-3438918.600600000470877,414.6898499,126.9041519,7.1414285,540,541,4.5010571,59.3227158,17.8081245,261.0000000,0.660032903450470
188,0.0000000,495683.071999996900558,-3438918.600600000470877,413.9122620,123.9430161,2.4494898,540,540,0.9661644,50.7451134,17.8081245,261.0000000,0.660032903450470
189,0.0000000,495713.993199996650219,-3438918.600600000470877,407.5239868,120.6387939,8.8317604,544,540,5.8557625,275.2270508,17.8081245,261.0000000,0.660032903450470
190,0.0000000,495744.914399996399879,-3438918.600600000470877,413.6661682,124.9081879,14.2828569,550,546,10.6213675,279.5993347,17.8081245,261.0000000,0.660032903450470
191,0.0000000,495466.623599998652935,-3438949.521800000220537,412.6973267,165.4872284,21.0237961,563,566,15.4650917,23.1351280,17.8081245,261.0000000,0.660032903450470
192,0.0000000,495559.387199997901917,-3438949.521800000220537,415.8469238,149.7336578,15.7162333,558,553,11.9885912,24.8777676,17.8081245,261.0000000,0.660032903450470
193,0.0000000,495590.308399997651577,-3438949.521800000220537,414.7142639,143.0970917,14.9666300,552,551,11.1249561,35.7778893,17.8081245,261.0000000,0.660032903450470
194,0.0000000,495652.150799997150898,-3438949.521800000220537,415.4359131,132.5337982,10.3440800,541,542,6.9392991,61.0552177,17.8081245,261.0000000,0.660032903450470
195,0.0000000,495683.071999996900558,-3438949.521800000220537,414.6272583,126.5231781,4.7958317,541,540,2.2018442,47.8170738,17.8081245,261.0000000,0.660032903450470
196,0.0000000,495713.993199996650219,-3438949.521800000220537,401.7609253,120.8785858,9.3808317,542,540,6.1170807,271.4428101,17.8081245,261.0000000,0.660032903450470
